Case ID,cluster,Sequence
5467626,0-beforeDrift1_cutwindow0,phase_application_received phase_application_receptive phase_advice_known phase_updated_plan_requested phase_updated_plan_received phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_updated_plan_requested phase_updated_plan_received phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5467626,0-beforeDrift1_cutwindow20,phase_application_received phase_application_receptive phase_advice_known phase_updated_plan_requested phase_updated_plan_received phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_updated_plan_requested phase_updated_plan_received phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5467626,0-beforeDrift1_cutwindow50,phase_application_received phase_application_receptive phase_advice_known phase_updated_plan_requested phase_updated_plan_received phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_updated_plan_requested phase_updated_plan_received phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5468125,0-beforeDrift1_cutwindow0,phase_application_received phase_asked_additional_information phase_permanently_suspended phase_procedure_aborted phase_application_received phase_asked_additional_information phase_permanently_suspended phase_procedure_aborted
5468125,0-beforeDrift1_cutwindow20,phase_application_received phase_asked_additional_information phase_permanently_suspended phase_procedure_aborted phase_application_received phase_asked_additional_information phase_permanently_suspended phase_procedure_aborted
5468125,0-beforeDrift1_cutwindow50,phase_application_received phase_asked_additional_information phase_permanently_suspended phase_procedure_aborted phase_application_received phase_asked_additional_information phase_permanently_suspended phase_procedure_aborted
5470093,0-beforeDrift1_cutwindow0,phase_application_received phase_application_receptive phase_advice_known phase_decision_suspended phase_procedure_resumed phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_suspended phase_procedure_resumed phase_decision_ready phase_decision_taken phase_decision_sent
5470093,0-beforeDrift1_cutwindow20,phase_application_received phase_application_receptive phase_advice_known phase_decision_suspended phase_procedure_resumed phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_suspended phase_procedure_resumed phase_decision_ready phase_decision_taken phase_decision_sent
5470093,0-beforeDrift1_cutwindow50,phase_application_received phase_application_receptive phase_advice_known phase_decision_suspended phase_procedure_resumed phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_suspended phase_procedure_resumed phase_decision_ready phase_decision_taken phase_decision_sent
5477452,0-beforeDrift1_cutwindow0,phase_application_received phase_application_receptive phase_advice_known phase_updated_plan_requested phase_procedure_extended phase_updated_plan_received phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_updated_plan_requested phase_procedure_extended phase_updated_plan_received phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5477452,0-beforeDrift1_cutwindow20,phase_application_received phase_application_receptive phase_advice_known phase_updated_plan_requested phase_procedure_extended phase_updated_plan_received phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_updated_plan_requested phase_procedure_extended phase_updated_plan_received phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5477452,0-beforeDrift1_cutwindow50,phase_application_received phase_application_receptive phase_advice_known phase_updated_plan_requested phase_procedure_extended phase_updated_plan_received phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_updated_plan_requested phase_procedure_extended phase_updated_plan_received phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5486773,0-beforeDrift1_cutwindow0,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5486773,0-beforeDrift1_cutwindow20,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5486773,0-beforeDrift1_cutwindow50,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5487271,0-beforeDrift1_cutwindow0,phase_application_received phase_procedure_extended phase_application_receptive phase_procedure_term_suspended phase_application_received phase_procedure_extended phase_application_receptive phase_procedure_term_suspended
5487271,0-beforeDrift1_cutwindow20,phase_application_received phase_procedure_extended phase_application_receptive phase_procedure_term_suspended phase_application_received phase_procedure_extended phase_application_receptive phase_procedure_term_suspended
5487271,0-beforeDrift1_cutwindow50,phase_application_received phase_procedure_extended phase_application_receptive phase_procedure_term_suspended phase_application_received phase_procedure_extended phase_application_receptive phase_procedure_term_suspended
5489846,0-beforeDrift1_cutwindow0,phase_application_received phase_application_receptive phase_advice_known phase_decision_suspended phase_procedure_resumed phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_suspended phase_procedure_resumed phase_decision_ready phase_decision_taken phase_decision_sent
5489846,0-beforeDrift1_cutwindow20,phase_application_received phase_application_receptive phase_advice_known phase_decision_suspended phase_procedure_resumed phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_suspended phase_procedure_resumed phase_decision_ready phase_decision_taken phase_decision_sent
5489846,0-beforeDrift1_cutwindow50,phase_application_received phase_application_receptive phase_advice_known phase_decision_suspended phase_procedure_resumed phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_suspended phase_procedure_resumed phase_decision_ready phase_decision_taken phase_decision_sent
5494090,0-beforeDrift1_cutwindow0,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5494090,0-beforeDrift1_cutwindow20,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5494090,0-beforeDrift1_cutwindow50,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5500423,0-beforeDrift1_cutwindow0,phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5500423,0-beforeDrift1_cutwindow20,phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5500423,0-beforeDrift1_cutwindow50,phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5501931,0-beforeDrift1_cutwindow0,phase_application_received phase_asked_additional_information phase_permanently_suspended phase_application_received phase_asked_additional_information phase_permanently_suspended
5501931,0-beforeDrift1_cutwindow20,phase_application_received phase_asked_additional_information phase_permanently_suspended phase_application_received phase_asked_additional_information phase_permanently_suspended
5501931,0-beforeDrift1_cutwindow50,phase_application_received phase_asked_additional_information phase_permanently_suspended phase_application_received phase_asked_additional_information phase_permanently_suspended
5515183,0-beforeDrift1_cutwindow0,phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5515183,0-beforeDrift1_cutwindow20,phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5515183,0-beforeDrift1_cutwindow50,phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5515807,0-beforeDrift1_cutwindow0,phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5515807,0-beforeDrift1_cutwindow20,phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5515807,0-beforeDrift1_cutwindow50,phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5516322,0-beforeDrift1_cutwindow0,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5516322,0-beforeDrift1_cutwindow20,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5516322,0-beforeDrift1_cutwindow50,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5524106,0-beforeDrift1_cutwindow0,phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5524106,0-beforeDrift1_cutwindow20,phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5524106,0-beforeDrift1_cutwindow50,phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5524669,0-beforeDrift1_cutwindow0,phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5524669,0-beforeDrift1_cutwindow20,phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5524669,0-beforeDrift1_cutwindow50,phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5526070,0-beforeDrift1_cutwindow0,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5526070,0-beforeDrift1_cutwindow20,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5526070,0-beforeDrift1_cutwindow50,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5537503,0-beforeDrift1_cutwindow0,phase_application_received phase_asked_additional_information phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_asked_additional_information phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5537503,0-beforeDrift1_cutwindow20,phase_application_received phase_asked_additional_information phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_asked_additional_information phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5537503,0-beforeDrift1_cutwindow50,phase_application_received phase_asked_additional_information phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_asked_additional_information phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5545976,0-beforeDrift1_cutwindow0,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5545976,0-beforeDrift1_cutwindow20,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5545976,0-beforeDrift1_cutwindow50,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5546884,0-beforeDrift1_cutwindow0,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5546884,0-beforeDrift1_cutwindow20,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5546884,0-beforeDrift1_cutwindow50,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5553038,0-beforeDrift1_cutwindow0,phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken
5553038,0-beforeDrift1_cutwindow20,phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken
5553038,0-beforeDrift1_cutwindow50,phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken
5553670,0-beforeDrift1_cutwindow0,phase_application_received phase_asked_additional_information phase_application_received phase_asked_additional_information
5553670,0-beforeDrift1_cutwindow20,phase_application_received phase_asked_additional_information phase_application_received phase_asked_additional_information
5553670,0-beforeDrift1_cutwindow50,phase_application_received phase_asked_additional_information phase_application_received phase_asked_additional_information
5557874,0-beforeDrift1_cutwindow0,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5557874,0-beforeDrift1_cutwindow20,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5557874,0-beforeDrift1_cutwindow50,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5562464,0-beforeDrift1_cutwindow0,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5562464,0-beforeDrift1_cutwindow20,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5562464,0-beforeDrift1_cutwindow50,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5564998,0-beforeDrift1_cutwindow0,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5564998,0-beforeDrift1_cutwindow20,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5564998,0-beforeDrift1_cutwindow50,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5565321,0-beforeDrift1_cutwindow0,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5565321,0-beforeDrift1_cutwindow20,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5565321,0-beforeDrift1_cutwindow50,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5572431,0-beforeDrift1_cutwindow0,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5572431,0-beforeDrift1_cutwindow20,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5572431,0-beforeDrift1_cutwindow50,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5576423,0-beforeDrift1_cutwindow0,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5576423,0-beforeDrift1_cutwindow20,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5576423,0-beforeDrift1_cutwindow50,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5578213,1-beforeDrift1_cutwindow0,phase_application_received phase_application_receptive phase_advice_known phase_concept_draft_decision_ready phase_draft_decision_ready phase_draft_decision_made phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_concept_draft_decision_ready phase_draft_decision_ready phase_draft_decision_made phase_decision_ready phase_decision_taken phase_decision_sent
5578213,1-beforeDrift1_cutwindow20,phase_application_received phase_application_receptive phase_advice_known phase_concept_draft_decision_ready phase_draft_decision_ready phase_draft_decision_made phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_concept_draft_decision_ready phase_draft_decision_ready phase_draft_decision_made phase_decision_ready phase_decision_taken phase_decision_sent
5578213,1-beforeDrift1_cutwindow50,phase_application_received phase_application_receptive phase_advice_known phase_concept_draft_decision_ready phase_draft_decision_ready phase_draft_decision_made phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_concept_draft_decision_ready phase_draft_decision_ready phase_draft_decision_made phase_decision_ready phase_decision_taken phase_decision_sent
5584651,0-beforeDrift1_cutwindow0,phase_application_received phase_procedure_prematurely_terminated phase_application_received phase_procedure_prematurely_terminated
5584651,0-beforeDrift1_cutwindow20,phase_application_received phase_procedure_prematurely_terminated phase_application_received phase_procedure_prematurely_terminated
5584651,0-beforeDrift1_cutwindow50,phase_application_received phase_procedure_prematurely_terminated phase_application_received phase_procedure_prematurely_terminated
5585560,0-beforeDrift1_cutwindow0,phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_suspended phase_decision_ready phase_decision_taken phase_procedure_resumed phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_suspended phase_decision_ready phase_decision_taken phase_procedure_resumed
5585560,0-beforeDrift1_cutwindow20,phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_suspended phase_decision_ready phase_decision_taken phase_procedure_resumed phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_suspended phase_decision_ready phase_decision_taken phase_procedure_resumed
5585560,0-beforeDrift1_cutwindow50,phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_suspended phase_decision_ready phase_decision_taken phase_procedure_resumed phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_suspended phase_decision_ready phase_decision_taken phase_procedure_resumed
